epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,12658.9,1.34776,0.65033,1.07876,0.87769,0.85342,0.89411,0.55397,1.23332,0.63917,1.09401,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,13079.1,1.34165,0.6451,1.07364,0.88102,0.85152,0.8923,0.5524,1.23333,0.62924,1.09331,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,13502.6,1.33854,0.64409,1.07443,0.8742,0.85952,0.89517,0.55692,1.22693,0.6288,1.09175,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,13921.3,1.33577,0.63765,1.07153,0.88179,0.85576,0.89276,0.55624,1.22812,0.63027,1.0906,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,14338.4,1.32654,0.63214,1.06953,0.87793,0.85954,0.89135,0.55712,1.22357,0.62647,1.08617,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,14761.6,1.32522,0.63023,1.06581,0.88457,0.85142,0.89532,0.55825,1.22339,0.62207,1.08738,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,15183.8,1.32614,0.62966,1.06914,0.86742,0.86631,0.8939,0.55974,1.21982,0.62174,1.08727,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,15604.4,1.32089,0.62436,1.06925,0.8779,0.85599,0.89286,0.55848,1.21909,0.62204,1.08893,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,16021.4,1.30901,0.62112,1.0662,0.88335,0.85504,0.89495,0.55957,1.21956,0.61811,1.08811,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,16442.5,1.31765,0.62109,1.06507,0.8877,0.85492,0.89561,0.55978,1.21829,0.61157,1.08488,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,16862.5,1.31567,0.61772,1.06133,0.88523,0.85406,0.89548,0.56131,1.21737,0.61018,1.08409,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,17285.5,1.3064,0.61092,1.06137,0.88066,0.85704,0.89515,0.56068,1.21593,0.61125,1.08388,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,17706.8,1.30822,0.6101,1.05555,0.87625,0.86421,0.89602,0.56187,1.21534,0.61065,1.08224,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,18134.9,1.30248,0.60555,1.05462,0.88271,0.8579,0.89557,0.56123,1.21544,0.61053,1.08017,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,18552.7,1.29836,0.60067,1.053,0.87301,0.86487,0.89654,0.56252,1.21348,0.60975,1.07954,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,18979.6,1.29734,0.60093,1.05267,0.88618,0.85019,0.89675,0.56274,1.21331,0.6082,1.0799,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,19396.9,1.29766,0.60171,1.05305,0.88405,0.85546,0.89828,0.5632,1.21245,0.60705,1.07877,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,19816.4,1.28512,0.59331,1.04861,0.88598,0.85559,0.89814,0.56261,1.21216,0.60637,1.0787,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,20234.7,1.28484,0.5915,1.04887,0.88607,0.85785,0.8977,0.56264,1.21233,0.60593,1.07854,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,20654.6,1.2808,0.5902,1.04912,0.88624,0.85789,0.89647,0.56195,1.2124,0.60472,1.07903,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,21071.4,1.27931,0.58784,1.04591,0.88362,0.85888,0.89606,0.56187,1.21124,0.60461,1.07791,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,21490.3,1.27591,0.58416,1.04615,0.88485,0.85752,0.89497,0.5613,1.21119,0.60416,1.07806,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,21908.9,1.27843,0.58091,1.04422,0.88374,0.86042,0.89543,0.56229,1.21049,0.60393,1.07839,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,22336,1.27053,0.578,1.04201,0.88922,0.85727,0.89536,0.56253,1.21065,0.60385,1.07849,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,22758.3,1.27423,0.57772,1.04198,0.88735,0.85933,0.8954,0.56286,1.20959,0.60311,1.07863,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,23185.7,1.26265,0.57098,1.03736,0.88862,0.85889,0.89513,0.56266,1.20926,0.60236,1.07853,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,23608.7,1.25938,0.56652,1.03653,0.89021,0.85802,0.89517,0.56211,1.20934,0.60145,1.07834,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,24028.8,1.25411,0.56397,1.03565,0.89282,0.85477,0.89474,0.56243,1.20874,0.60132,1.07833,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,24452.7,1.25504,0.56266,1.0362,0.89139,0.8558,0.89487,0.56297,1.20863,0.60117,1.07846,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,24876.6,1.2502,0.56019,1.03695,0.89139,0.85681,0.89469,0.5626,1.20844,0.60077,1.07842,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,25301.3,1.25228,0.56149,1.03132,0.89142,0.85675,0.8951,0.56272,1.20855,0.60049,1.07846,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,25724.2,1.23882,0.55209,1.03279,0.89045,0.85707,0.89518,0.56217,1.20856,0.59985,1.07846,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,26151.6,1.23881,0.55038,1.02721,0.88853,0.85961,0.89484,0.56203,1.20862,0.60001,1.07844,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,26575.5,1.23629,0.55225,1.02987,0.88653,0.86244,0.89482,0.56237,1.20891,0.59963,1.07884,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,26996.7,1.23347,0.54431,1.02722,0.88564,0.86251,0.89524,0.56256,1.20911,0.5995,1.07906,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,27418.5,1.22974,0.54331,1.02669,0.88457,0.8639,0.8949,0.56265,1.20908,0.5988,1.07918,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,27840.5,1.22001,0.5396,1.02067,0.88783,0.86143,0.89541,0.56287,1.20916,0.59827,1.07942,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,28266.6,1.21554,0.53576,1.0209,0.88839,0.86165,0.89579,0.56268,1.20927,0.59847,1.07945,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,28688.8,1.21349,0.53413,1.01961,0.88624,0.8631,0.89536,0.56272,1.20937,0.59839,1.07934,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,29116.7,1.21496,0.53337,1.01765,0.88704,0.86284,0.89541,0.56263,1.20928,0.59829,1.07929,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,29539.9,1.21455,0.52955,1.01563,0.88786,0.86307,0.89443,0.56248,1.20917,0.59799,1.07929,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,29952.6,1.20172,0.48383,1.0194,0.88785,0.86244,0.89446,0.56238,1.20926,0.59744,1.07934,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,30359.8,1.19351,0.47827,1.0131,0.88843,0.86249,0.89427,0.56286,1.20937,0.59729,1.07933,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,30767.7,1.18478,0.47225,1.01179,0.88817,0.86277,0.89434,0.56275,1.20933,0.59734,1.07921,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,31170.3,1.17838,0.47001,1.00886,0.88807,0.86268,0.89446,0.56272,1.20927,0.59703,1.0792,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,31575.1,1.17573,0.46693,1.00765,0.88733,0.8632,0.89445,0.56257,1.20935,0.59701,1.07934,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,31980.2,1.17134,0.46184,1.00254,0.88654,0.8655,0.89453,0.56219,1.20959,0.59681,1.07946,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,32385.8,1.16653,0.46134,1.00132,0.88639,0.86528,0.89382,0.56208,1.2096,0.59705,1.07946,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,32796.4,1.15988,0.45679,1.00171,0.88772,0.86451,0.8935,0.56156,1.20978,0.59692,1.07957,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,33203.1,1.15934,0.45549,1.00037,0.88798,0.86334,0.8935,0.5617,1.21013,0.59692,1.07982,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,33611,1.15537,0.45378,1.00095,0.88711,0.86373,0.89314,0.56128,1.21012,0.59683,1.07996,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
